                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3121,                 2.4825,                  1.855,                  1.141,                0.02015,                0.22153,                0.01266,                 0.0071,                0.01893,                0.18894,                0.01183,                0.00595,                 1.3598,                 25.845,                    inf,                 1.9053,             0.00054433,             0.00054433,             0.00054433
                      2,                 1.3633,                 2.3196,                 1.0567,                 1.1314,                 0.0301,                0.27698,                0.02044,                0.01045,                0.02727,                0.19983,                0.01792,                0.00829,                 1.3718,                 6.3927,                    inf,                 1.4848,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.3448,                 2.2196,                 1.1087,                 1.1789,                 0.2432,                0.32929,                0.13132,                0.07898,                0.20915,                 0.2917,                0.11074,                0.04833,                 1.2333,                 2.8401,                  94.04,                  1.223,              0.0016229,              0.0016229,              0.0016229
                      4,                 1.4042,                 2.3752,                 1.0579,                 1.1726,                0.37347,                0.35152,                0.23169,                0.13356,                0.36133,                0.36561,                0.22604,                0.11459,                 1.2252,                 2.4929,                 36.458,                 1.1677,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3565,                 2.1713,                0.94751,                 1.1225,                0.46409,                0.33637,                0.33172,                0.18236,                0.41091,                0.41012,                 0.3168,                0.15332,                 1.1587,                 2.2713,                 5.5891,                 1.0749,               0.001601,               0.001601,               0.001601
                      6,                 1.2889,                 2.0057,                0.91116,                 1.0799,                0.49127,                0.36251,                 0.3662,                0.20302,                0.36251,                0.39863,                0.32089,                0.14876,                 1.0691,                 1.9031,                 3.7575,                 1.0173,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2365,                 1.9603,                0.88316,                  1.093,                0.62085,                 0.4533,                0.42692,                0.24606,                0.56672,                0.42971,                0.38951,                0.19247,                 1.0406,                 1.7487,                 5.1134,                 1.0093,               0.001568,               0.001568,               0.001568
                      8,                 1.2121,                 1.8714,                0.84136,                 1.0889,                0.47218,                0.42086,                0.40448,                0.23352,                0.45616,                0.40591,                0.38867,                0.19803,                 1.0459,                 1.7274,                 4.0607,                 1.0058,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1701,                 1.7995,                0.83457,                  1.073,                0.37353,                0.35074,                0.35201,                0.18949,                 0.3788,                 0.3356,                0.31836,                0.15517,                 1.2339,                 2.0707,                 2.9882,                 1.1726,               0.001535,               0.001535,               0.001535
                     10,                 1.1839,                 1.8369,                0.78671,                 1.0733,                0.58463,                0.47147,                0.45616,                0.27763,                0.57305,                0.46278,                0.44927,                0.23312,                  1.002,                 1.6439,                 1.7979,                 0.9933,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1612,                 1.7198,                0.72837,                 1.0456,                0.66334,                0.49556,                0.51449,                 0.3306,                0.63319,                0.47804,                0.48826,                0.26939,                0.99242,                 1.6344,                0.83241,                0.97552,               0.001502,               0.001502,               0.001502
                     12,                  1.138,                 1.6934,                0.69775,                 1.0371,                0.61798,                0.50866,                0.50041,                0.31652,                0.58805,                0.48916,                 0.4782,                0.25857,                0.93052,                 1.4919,                 1.1034,                  0.948,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0715,                  1.618,                0.67893,                 1.0213,                0.67967,                0.40357,                 0.4812,                0.31724,                0.66873,                 0.3849,                0.45745,                0.25734,                0.91067,                 1.4753,                 1.1321,                0.93075,               0.001469,               0.001469,               0.001469
                     14,                 1.1067,                 1.6567,                0.68419,                 1.0277,                0.57684,                0.47029,                0.47202,                0.28761,                0.60537,                0.40793,                0.43719,                0.23723,                0.91765,                 1.4652,                 2.7019,                0.95247,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0984,                 1.6096,                0.67729,                 1.0234,                0.67478,                0.44446,                0.50822,                0.33129,                0.63867,                0.43597,                0.48888,                0.29129,                0.88883,                 1.3741,                0.98326,                0.91637,               0.001436,               0.001436,               0.001436
                     16,                 1.0629,                 1.5544,                0.67225,                 1.0025,                0.62347,                0.52048,                 0.5313,                0.32993,                0.59292,                0.49803,                0.50793,                 0.2815,                0.87436,                 1.3397,                   1.25,                0.91997,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0681,                 1.5661,                0.62825,                 1.0113,                0.69094,                0.51912,                0.58207,                 0.3826,                0.61734,                 0.5311,                0.55819,                0.31841,                0.90507,                  1.461,                0.57595,                0.94212,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0533,                 1.4831,                0.61188,                 0.9838,                0.69475,                0.57142,                0.60151,                0.40868,                0.65599,                0.55715,                 0.5731,                0.34827,                0.87064,                 1.3382,                0.77351,                0.90231,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0173,                 1.4506,                0.63305,                0.99334,                0.68131,                0.54836,                0.59795,                0.38301,                0.62852,                0.59722,                0.57622,                0.32932,                0.89557,                 1.4189,                 0.5738,                0.92336,              0.0013699,              0.0013699,              0.0013699
                     20,                0.97902,                   1.42,                0.65907,                 1.0066,                0.60568,                0.55508,                0.50718,                0.32912,                0.58037,                0.54201,                0.48653,                0.26918,                0.92108,                 1.4105,                 1.1723,                0.94513,              0.0013534,              0.0013534,              0.0013534
                     21,                0.97629,                 1.3883,                0.60856,                0.97435,                0.65782,                0.55966,                0.53979,                0.36337,                0.57374,                0.59616,                0.51589,                0.30478,                0.88671,                 1.3266,                0.80725,                0.90194,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0166,                 1.4555,                0.61804,                0.99239,                0.69794,                0.49426,                0.58714,                0.40917,                0.68731,                0.47614,                0.56904,                0.34337,                0.83733,                 1.3375,                 1.2764,                0.89503,              0.0013204,              0.0013204,              0.0013204
                     23,                0.97657,                 1.4029,                0.59076,                0.97544,                0.70809,                0.50615,                0.59471,                0.41921,                0.68034,                0.48555,                0.57673,                0.35026,                0.83602,                  1.269,                0.54913,                0.89097,              0.0013039,              0.0013039,              0.0013039
                     24,                0.99975,                 1.4084,                0.60927,                0.97557,                0.73083,                0.55272,                0.61906,                0.40979,                 0.6898,                0.52592,                0.59313,                 0.3611,                 0.8499,                 1.3598,                0.86928,                0.89718,              0.0012874,              0.0012874,              0.0012874
                     25,                0.97266,                 1.3708,                 0.6014,                0.95711,                0.64289,                0.59732,                0.56116,                0.39071,                0.59946,                 0.5686,                0.53105,                0.32358,                0.82172,                  1.249,                 0.9993,                0.88403,              0.0012709,              0.0012709,              0.0012709
                     26,                 0.9628,                 1.3279,                0.56929,                0.96252,                  0.777,                0.54075,                0.66439,                0.46283,                0.74625,                0.52222,                0.63945,                0.40071,                0.82044,                 1.2617,                 0.5141,                0.88046,              0.0012544,              0.0012544,              0.0012544
                     27,                0.92799,                 1.2892,                0.55322,                0.96354,                0.71371,                0.55979,                0.63145,                0.42761,                0.63356,                0.54854,                0.60215,                0.37414,                0.82273,                  1.238,                0.53204,                0.87344,              0.0012379,              0.0012379,              0.0012379
                     28,                0.95923,                 1.3261,                0.58618,                0.97276,                0.67515,                0.61992,                0.65062,                0.46429,                0.65078,                0.59371,                0.63042,                 0.3986,                0.82108,                  1.218,                0.51486,                 0.8648,              0.0012214,              0.0012214,              0.0012214
                     29,                0.93382,                 1.3012,                0.55277,                0.95315,                 0.7191,                0.56427,                0.63557,                0.45043,                0.68999,                0.54626,                0.61287,                0.39674,                0.82154,                 1.2015,                0.55053,                0.87294,              0.0012049,              0.0012049,              0.0012049
                     30,                0.89837,                 1.2301,                 0.5597,                0.95546,                0.64763,                0.56691,                0.60733,                0.41952,                0.60489,                0.60085,                 0.5949,                0.36468,                0.83979,                 1.2453,                0.51703,                0.88635,              0.0011884,              0.0011884,              0.0011884
                     31,                0.93837,                 1.2862,                0.55404,                0.95887,                0.80224,                0.54507,                0.67091,                0.48223,                0.75596,                0.51576,                0.64734,                  0.414,                0.80699,                 1.1965,                0.50002,                0.85517,              0.0011719,              0.0011719,              0.0011719
                     32,                0.90349,                 1.2521,                0.56539,                0.95605,                0.76765,                 0.5883,                0.65147,                0.48152,                0.73438,                0.56776,                0.63731,                0.41491,                 0.7938,                 1.1707,                0.52147,                0.85321,              0.0011554,              0.0011554,              0.0011554
                     33,                0.91319,                  1.272,                0.54918,                0.95525,                0.74735,                0.56587,                0.63958,                0.43269,                0.70574,                0.54691,                0.61203,                 0.3691,                  0.814,                 1.2165,                0.52495,                0.86378,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.9112,                 1.2551,                0.53468,                0.95078,                0.81717,                 0.5284,                0.66168,                0.46887,                0.78751,                0.50655,                0.64599,                0.39337,                0.79516,                 1.1615,                0.52932,                0.85295,              0.0011224,              0.0011224,              0.0011224
                     35,                0.89462,                 1.2381,                0.52493,                0.94501,                0.82113,                0.51866,                0.64558,                0.47341,                 0.8045,                0.48937,                0.61956,                0.40515,                0.78565,                 1.1802,                0.52328,                0.84801,              0.0011059,              0.0011059,              0.0011059
                     36,                0.88928,                 1.2313,                0.52414,                 0.9357,                0.73843,                0.56759,                0.62485,                0.44966,                 0.6901,                0.54451,                0.60958,                0.39713,                0.76755,                 1.1495,                0.49484,                0.84444,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.8935,                 1.2399,                0.52031,                0.95332,                0.79015,                0.59518,                0.67982,                0.50099,                0.75582,                0.57633,                0.66408,                 0.4315,                0.76937,                 1.1711,                0.47212,                0.85898,              0.0010729,              0.0010729,              0.0010729
                     38,                0.88543,                 1.2479,                0.52277,                0.93506,                0.78185,                0.58595,                0.68566,                0.51873,                0.70925,                0.58058,                 0.6562,                0.44645,                 0.7621,                 1.1197,                0.49522,                0.84843,              0.0010564,              0.0010564,              0.0010564
                     39,                0.86737,                 1.2041,                0.50868,                0.93144,                0.71481,                0.63362,                0.69966,                0.52828,                 0.6754,                0.60562,                0.67201,                0.46566,                0.75341,                 1.1807,                 0.4692,                0.84828,              0.0010399,              0.0010399,              0.0010399
                     40,                0.86045,                 1.1866,                 0.5228,                0.94494,                 0.7118,                0.71456,                0.70192,                0.50239,                0.67699,                0.69041,                0.67112,                0.43478,                 0.7782,                 1.1113,                0.46448,                0.86308,              0.0010234,              0.0010234,              0.0010234
                     41,                0.87377,                 1.1843,                0.51829,                0.93475,                0.65897,                0.71764,                0.68577,                0.51373,                0.62847,                0.68833,                0.65397,                0.45323,                0.76694,                 1.1011,                0.45673,                0.85712,              0.0010069,              0.0010069,              0.0010069
                     42,                0.85969,                 1.1866,                0.51167,                0.93491,                0.73242,                0.58723,                0.64755,                0.46717,                0.68501,                0.61208,                0.63964,                0.42004,                0.76506,                  1.108,                0.50273,                0.85806,             0.00099036,             0.00099036,             0.00099036
                     43,                0.82673,                 1.1407,                0.49739,                0.93752,                0.71763,                 0.7229,                0.70854,                0.51528,                0.68419,                0.69159,                0.67721,                0.44743,                0.77269,                 1.1486,                0.46863,                0.86263,             0.00097386,             0.00097386,             0.00097386
                     44,                0.87829,                 1.2026,                0.51125,                0.93316,                0.82773,                0.59068,                 0.7188,                0.53805,                0.78837,                0.58142,                0.69053,                0.47774,                0.75412,                 1.1334,                0.46183,                0.85378,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.8568,                 1.1772,                0.49248,                0.91974,                0.85123,                0.55432,                0.70713,                0.52304,                0.80766,                0.52784,                0.67938,                0.46319,                0.74633,                 1.1233,                0.44734,                0.84919,             0.00094085,             0.00094085,             0.00094085
                     46,                 0.8427,                 1.1614,                0.48978,                0.92707,                0.65532,                0.74524,                0.70193,                0.52771,                0.61648,                0.71572,                0.66759,                0.46222,                  0.735,                 1.1217,                 0.4586,                0.84667,             0.00092435,             0.00092435,             0.00092435
                     47,                0.84851,                 1.1455,                0.48335,                0.91618,                0.72629,                0.63494,                0.69664,                0.50899,                0.68931,                0.60602,                0.65961,                0.44748,                0.73849,                 1.1132,                0.46385,                 0.8429,             0.00090785,             0.00090785,             0.00090785
                     48,                  0.837,                 1.1224,                0.48662,                0.91832,                0.69001,                0.63233,                0.67324,                0.49501,                0.67113,                0.60477,                0.64972,                0.43073,                0.73529,                 1.1223,                0.47719,                0.84625,             0.00089134,             0.00089134,             0.00089134
                     49,                0.81091,                 1.1284,                0.47134,                0.91621,                0.75802,                0.63136,                0.72499,                0.54933,                0.71491,                0.60107,                0.69193,                0.48533,                0.72734,                 1.0875,                0.43485,                0.84802,             0.00087484,             0.00087484,             0.00087484
                     50,                0.83188,                 1.1417,                0.46369,                0.90593,                0.81431,                0.64022,                0.71811,                0.53377,                0.77922,                0.61133,                0.68798,                0.47627,                0.72466,                 1.0727,                0.43482,                0.85105,             0.00085834,             0.00085834,             0.00085834
                     51,                0.80143,                 1.0946,                0.46376,                0.92112,                0.77679,                0.55562,                0.67256,                0.47993,                0.74042,                0.53274,                0.64921,                0.41949,                0.76469,                 1.1019,                0.43263,                0.84512,             0.00084184,             0.00084184,             0.00084184
                     52,                0.81998,                 1.1045,                0.46027,                0.90623,                0.73747,                0.64117,                0.69509,                 0.5085,                0.70177,                0.61404,                0.67386,                0.45136,                 0.7413,                 1.0781,                0.44318,                0.83837,             0.00082533,             0.00082533,             0.00082533
                     53,                0.77345,                 1.0362,                0.45953,                0.91331,                 0.7052,                0.63631,                0.68894,                0.51458,                0.66044,                0.66346,                0.68011,                 0.4432,                0.73445,                 1.0789,                0.45558,                0.83647,             0.00080883,             0.00080883,             0.00080883
                     54,                0.82496,                 1.1121,                0.47303,                0.91624,                0.76187,                0.56854,                0.68125,                0.51228,                0.70654,                0.56482,                0.66158,                0.44996,                0.73601,                 1.0932,                0.45368,                0.82846,             0.00079233,             0.00079233,             0.00079233
                     55,                0.80183,                 1.0861,                0.46946,                0.91203,                0.72847,                0.65181,                0.70546,                0.53762,                0.64905,                0.70787,                0.68568,                0.47127,                0.73493,                 1.0692,                0.44831,                0.82984,             0.00077582,             0.00077582,             0.00077582
                     56,                0.79549,                 1.0486,                0.45211,                0.90296,                0.76843,                0.60346,                0.70758,                0.51535,                0.72168,                0.56619,                0.67122,                0.45549,                0.74531,                 1.0936,                0.42989,                0.83366,             0.00075932,             0.00075932,             0.00075932
                     57,                0.78327,                 1.0383,                0.45497,                0.90292,                0.84992,                0.57084,                0.72118,                0.55801,                 0.8121,                0.54256,                0.70018,                0.49285,                0.72177,                  1.068,                0.44062,                0.82892,             0.00074282,             0.00074282,             0.00074282
                     58,                0.78092,                 1.0517,                0.46094,                0.90906,                0.78558,                0.59573,                0.69801,                0.53159,                0.74845,                0.57037,                0.68127,                0.46456,                 0.7268,                 1.0701,                0.44411,                0.82987,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.7706,                 1.0503,                0.44753,                0.90503,                0.76134,                0.57055,                0.69348,                0.51027,                0.61343,                 0.6197,                0.65578,                0.45517,                0.74149,                 1.1164,                0.43736,                 0.8382,             0.00070981,             0.00070981,             0.00070981
                     60,                0.79491,                  1.069,                 0.4487,                0.89659,                0.74451,                0.61006,                 0.7188,                0.54058,                0.69779,                0.58047,                0.68875,                0.47826,                0.72297,                 1.1008,                0.42079,                0.82835,             0.00069331,             0.00069331,             0.00069331
                     61,                0.78242,                 1.0474,                0.44168,                0.89401,                0.73984,                0.60706,                0.70104,                0.52609,                0.65866,                0.65409,                0.68232,                0.47236,                0.71819,                 1.0613,                0.41919,                 0.8375,              0.0006768,              0.0006768,              0.0006768
                     62,                0.78533,                 1.0659,                0.43673,                0.90066,                0.67571,                0.69032,                0.71563,                0.53274,                0.65286,                0.67068,                0.68451,                0.47377,                0.72702,                 1.0643,                0.42178,                0.83895,              0.0006603,              0.0006603,              0.0006603
                     63,                0.76036,                 1.0224,                0.43833,                0.89798,                0.71657,                0.68149,                0.71286,                0.52961,                0.73429,                 0.6402,                0.69323,                0.47771,                0.72339,                 1.0539,                0.42406,                0.83098,              0.0006438,              0.0006438,              0.0006438
                     64,                0.77075,                 1.0328,                0.42981,                0.89315,                0.75455,                0.60777,                0.71344,                0.54652,                0.66564,                0.67871,                0.68835,                0.47986,                0.70495,                 1.0568,                0.41985,                0.82622,             0.00062729,             0.00062729,             0.00062729
                     65,                0.75999,                 1.0195,                0.41828,                0.89154,                0.67275,                0.72247,                 0.7188,                0.54086,                0.63837,                0.69348,                0.69421,                0.47963,                0.73415,                 1.0776,                0.42444,                0.83792,             0.00061079,             0.00061079,             0.00061079
                     66,                0.73624,                0.98885,                0.41519,                0.88555,                0.79713,                0.67022,                0.74546,                0.55787,                0.75901,                0.64242,                0.71642,                 0.4999,                0.71173,                  1.059,                 0.4119,                0.82816,             0.00059429,             0.00059429,             0.00059429
                     67,                0.75922,                 1.0106,                0.41423,                0.88592,                0.74687,                0.67615,                0.73695,                0.54594,                0.70956,                0.64837,                0.70008,                0.48862,                0.72815,                  1.039,                0.41287,                0.82996,             0.00057778,             0.00057778,             0.00057778
                     68,                0.74315,                0.98901,                0.42306,                0.88366,                0.76777,                0.65505,                0.74411,                 0.5722,                0.72798,                0.62603,                0.71544,                0.50874,                0.71513,                 1.0342,                0.40887,                0.82293,             0.00056128,             0.00056128,             0.00056128
                     69,                0.74305,                0.99147,                0.41265,                0.87889,                0.72596,                0.65305,                0.72101,                0.54142,                0.72517,                0.63583,                0.69823,                0.48357,                0.69958,                 1.0224,                0.40411,                0.82782,             0.00054478,             0.00054478,             0.00054478
                     70,                0.73492,                0.98091,                0.41249,                0.87992,                0.68195,                0.69293,                0.72792,                0.56094,                0.65311,                 0.6717,                0.70156,                0.50501,                0.69276,                 1.0261,                0.40189,                0.82218,             0.00052827,             0.00052827,             0.00052827
                     71,                0.74022,                0.98014,                0.39852,                0.87467,                 0.7921,                0.60305,                0.72372,                0.55814,                0.74467,                0.60085,                0.70006,                0.49583,                0.69206,                 1.0389,                0.40296,                0.82407,             0.00051177,             0.00051177,             0.00051177
                     72,                0.72684,                0.97448,                0.40731,                 0.8835,                0.76069,                0.69023,                  0.732,                0.55007,                0.73073,                0.66983,                0.70647,                 0.4972,                0.70552,                 1.0557,                0.39996,                0.82084,             0.00049527,             0.00049527,             0.00049527
                     73,                0.71818,                0.97656,                0.40487,                 0.8841,                 0.8321,                0.58897,                0.73278,                0.55455,                0.72729,                0.63394,                0.70208,                0.49219,                0.70652,                 1.0545,                0.40743,                0.82776,             0.00047876,             0.00047876,             0.00047876
                     74,                0.73543,                0.97232,                0.40801,                0.88938,                0.71234,                0.69822,                0.72736,                 0.5489,                0.68362,                0.68258,                0.70458,                  0.499,                0.69682,                  1.014,                 0.3999,                0.82769,             0.00046226,             0.00046226,             0.00046226
                     75,                0.71905,                0.96314,                0.40646,                0.87614,                0.79937,                0.69136,                0.74648,                0.56873,                0.75862,                0.65858,                0.71514,                0.50656,                0.70497,                 1.0123,                0.40166,                0.82708,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.7208,                0.94771,                0.40228,                0.87403,                0.79487,                0.72083,                 0.7628,                0.58696,                0.75318,                0.69109,                0.72953,                0.51683,                0.70044,                 1.0155,                0.39407,                0.82507,             0.00042925,             0.00042925,             0.00042925
                     77,                0.69688,                0.94055,                0.39109,                0.87939,                0.79254,                0.70404,                0.74731,                0.56914,                0.75328,                0.66798,                0.71601,                0.51275,                0.70452,                 1.0303,                0.39624,                0.82508,             0.00041275,             0.00041275,             0.00041275
                     78,                 0.6828,                0.93474,                0.38911,                0.87696,                0.77798,                 0.6868,                  0.741,                0.56458,                0.73453,                0.65388,                0.70456,                0.50265,                0.70921,                 1.0658,                0.40149,                0.82701,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.6996,                0.95329,                0.38752,                0.87472,                 0.7318,                0.68083,                 0.7157,                0.54782,                0.68833,                0.64891,                0.68157,                0.47582,                0.70162,                 1.0635,                0.40612,                0.82336,             0.00037974,             0.00037974,             0.00037974
                     80,                0.71908,                 0.9602,                0.39092,                0.87104,                 0.7907,                0.68853,                 0.7491,                0.55484,                0.78794,                0.66352,                0.72156,                0.50143,                0.69848,                 1.0404,                0.39545,                0.82576,             0.00036324,             0.00036324,             0.00036324
                     81,                0.71366,                0.96051,                0.39252,                0.87617,                0.74631,                0.70162,                0.73676,                0.57068,                0.74005,                0.64502,                0.70727,                0.50854,                0.68019,                  1.011,                0.39577,                0.81784,             0.00034674,             0.00034674,             0.00034674
                     82,                0.68801,                0.93217,                0.38281,                0.86906,                0.83437,                0.65597,                 0.7599,                0.58014,                0.79583,                0.62886,                0.72755,                0.52475,                0.68723,                 1.0122,                0.38796,                0.81651,             0.00033023,             0.00033023,             0.00033023
                     83,                0.68933,                0.93483,                0.37915,                0.86838,                 0.8353,                0.69477,                0.75411,                0.57667,                 0.8041,                0.67308,                0.72857,                 0.5171,                0.68523,                0.99315,                0.38906,                0.81763,             0.00031373,             0.00031373,             0.00031373
                     84,                0.68209,                0.92392,                0.37628,                0.87031,                0.83999,                0.69402,                0.76435,                0.58691,                0.80904,                0.67394,                0.73697,                0.52813,                 0.6813,                 1.0006,                0.38714,                0.81924,             0.00029723,             0.00029723,             0.00029723
                     85,                0.68761,                0.91088,                0.37837,                0.87673,                0.77312,                0.64226,                0.74639,                0.56587,                0.73373,                0.61556,                0.71321,                0.50301,                0.68611,                 1.0124,                0.38432,                0.82057,             0.00028072,             0.00028072,             0.00028072
                     86,                0.66156,                0.89738,                0.36659,                0.86779,                0.79855,                0.70405,                 0.7628,                0.59342,                0.75817,                0.67594,                0.72888,                0.52507,                0.67648,                 1.0079,                0.38202,                0.81378,             0.00026422,             0.00026422,             0.00026422
                     87,                0.66721,                0.88713,                0.36906,                 0.8716,                0.78697,                0.71681,                0.76627,                0.59752,                 0.7608,                0.69664,                0.73904,                0.53908,                0.67611,                0.99548,                0.37783,                0.81652,             0.00024772,             0.00024772,             0.00024772
                     88,                0.65994,                0.88282,                0.36454,                0.85936,                 0.8502,                0.70296,                0.78511,                0.58749,                0.80951,                0.67561,                0.75212,                0.54067,                 0.6765,                0.98929,                0.37386,                0.82394,             0.00023121,             0.00023121,             0.00023121
                     89,                0.67439,                0.93373,                0.36673,                0.86736,                0.84119,                0.70024,                0.78098,                0.59945,                0.80418,                0.67361,                0.74865,                0.54051,                0.67549,                0.99195,                0.37581,                0.82436,             0.00021471,             0.00021471,             0.00021471
                     90,                0.65881,                0.89403,                0.36233,                0.86473,                0.84939,                0.70416,                0.77792,                0.60342,                0.80613,                0.67408,                0.74106,                0.54002,                 0.6714,                0.99269,                0.37443,                0.82072,             0.00019821,             0.00019821,             0.00019821
                     91,                0.61894,                0.84121,                0.33841,                0.85534,                0.84628,                0.69886,                0.77354,                0.59842,                0.80564,                0.67049,                0.74117,                0.53984,                0.67976,                  1.014,                0.38139,                0.82058,              0.0001817,              0.0001817,              0.0001817
                     92,                0.63172,                0.86252,                0.34401,                0.85609,                0.85445,                0.70109,                0.78183,                 0.5977,                0.83932,                  0.652,                0.74753,                0.54258,                0.67484,                 1.0156,                0.37509,                0.82166,              0.0001652,              0.0001652,              0.0001652
                     93,                0.63291,                0.87534,                 0.3417,                0.85311,                0.83603,                0.69881,                0.78391,                0.60383,                0.79671,                0.67221,                0.75256,                0.54281,                0.68556,                   1.02,                0.37764,                0.82418,              0.0001487,              0.0001487,              0.0001487
                     94,                0.60403,                0.81819,                0.32644,                0.84629,                0.78805,                0.72448,                0.78153,                0.61425,                 0.7448,                0.69242,                0.74888,                0.54945,                0.66901,                0.99926,                0.37342,                0.81549,             0.00013219,             0.00013219,             0.00013219
                     95,                0.62138,                0.84756,                0.33089,                0.85532,                0.83826,                0.68934,                0.77537,                0.60292,                0.79668,                0.66025,                0.74117,                0.53901,                0.67357,                  1.011,                0.37658,                 0.8167,             0.00011569,             0.00011569,             0.00011569
                     96,                0.60834,                0.83307,                0.32217,                0.84351,                0.85355,                0.66279,                 0.7805,                0.59927,                0.81469,                0.63729,                0.74413,                0.54684,                0.67356,                 1.0054,                0.37691,                0.81952,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.60649,                  0.836,                0.32417,                0.84759,                0.86144,                0.69224,                0.79109,                0.61495,                0.82334,                0.66091,                0.75713,                0.55964,                 0.6703,                0.99974,                0.37643,                0.81499,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.59095,                0.80559,                0.31945,                0.84356,                0.86474,                0.69538,                0.79106,                 0.6209,                0.82777,                0.66689,                0.75795,                0.56192,                0.66133,                  1.006,                0.37237,                 0.8137,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.62571,                0.84328,                0.32947,                0.84695,                0.85168,                0.69695,                0.78631,                0.61852,                0.81236,                0.66984,                0.75487,                0.56098,                0.66179,                 0.9941,                0.37197,                0.81458,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.60283,                0.83713,                0.31785,                0.84333,                0.87098,                0.69879,                0.78899,                0.62099,                0.82981,                0.67071,                0.75489,                0.56209,                0.66131,                 0.9905,                0.37148,                0.81391,             3.3173e-05,             3.3173e-05,             3.3173e-05
